9/24/2020, 14:19:39 | asdf | Left chat
9/24/2020, 14:19:45 | john | Joined chat
9/24/2020, 14:19:50 | john | Left chat
9/24/2020, 14:19:53 | aaaaaaaaaaaaaaaa | Joined chat
9/24/2020, 14:19:55 | aaaaaaaaaaaaaaaa | Left chat
9/24/2020, 14:22:40 | ajsdfklj | Joined chat
9/24/2020, 14:22:57 | ajsdfklj | Left chat
9/24/2020, 14:25:27 | hejsan | Joined chat
9/24/2020, 14:26:26 | hejsan | Left chat
9/24/2020, 14:26:27 |  | Joined chat
9/24/2020, 14:26:33 |  | Left chat
9/24/2020, 14:26:33 |  | Joined chat
9/24/2020, 14:29:38 |  | Left chat
9/24/2020, 14:30:38 |  | Joined chat
9/24/2020, 14:30:38 |  | Left chat
9/24/2020, 14:32:35 |  | Joined chat
9/24/2020, 14:32:35 |  | Left chat
9/24/2020, 14:40:57 | johnny | Joined chat
9/24/2020, 14:40:57 | johnny | Left chat
9/24/2020, 14:41:43 |  | Joined chat
9/24/2020, 14:41:44 |  | Left chat
9/24/2020, 14:41:48 | johnny | Joined chat
9/24/2020, 14:43:13 | johnny | Left chat
9/24/2020, 14:48:41 |  | Joined chat
9/24/2020, 14:48:56 |  | Left chat
9/24/2020, 14:48:56 |  | Joined chat
9/24/2020, 14:48:56 |  | Left chat
9/24/2020, 14:49:30 |  | Joined chat
9/24/2020, 14:49:30 |  | Left chat
9/24/2020, 14:49:45 | adsf | Joined chat
9/24/2020, 14:49:45 | adsf | Left chat
9/24/2020, 14:50:11 |  | Joined chat
9/24/2020, 14:50:26 |  | Left chat
9/24/2020, 14:50:27 |  | Joined chat
9/24/2020, 14:50:37 |  | Left chat
9/24/2020, 14:50:37 |  | Joined chat
9/24/2020, 14:50:37 |  | Left chat
9/24/2020, 14:52:12 |  | Joined chat
9/24/2020, 14:52:12 |  | Left chat
9/24/2020, 14:52:27 | asdf | Joined chat
9/24/2020, 14:52:27 | asdf | Left chat
9/24/2020, 14:54:27 |  | Joined chat
9/24/2020, 14:55:04 |  | Left chat
9/24/2020, 14:55:05 |  | Joined chat
9/24/2020, 14:55:55 |  | Left chat
9/24/2020, 14:55:55 |  | Joined chat
9/24/2020, 14:56:11 |  | Left chat
9/24/2020, 14:56:11 |  | Joined chat
9/24/2020, 14:56:30 |  | Left chat
9/24/2020, 14:56:32 | asdf | Joined chat
9/24/2020, 14:58:23 | asdf | Left chat
9/24/2020, 14:58:23 |  | Joined chat
9/24/2020, 14:58:23 |  | Left chat
9/24/2020, 14:58:33 | asdf | Joined chat
9/24/2020, 14:58:33 | asdf | Left chat
9/24/2020, 14:59:37 | asdf | Joined chat
9/24/2020, 14:59:37 | asdf | Left chat
9/24/2020, 15:00:28 |  | Joined chat
9/24/2020, 15:00:28 |  | Left chat
9/24/2020, 15:00:46 |  | Joined chat
9/24/2020, 15:00:46 |  | Left chat
9/24/2020, 15:00:56 |  | Joined chat
9/24/2020, 15:00:56 |  | Left chat
9/24/2020, 15:02:59 |  | Joined chat
9/24/2020, 15:03:17 |  | Left chat
9/24/2020, 15:03:20 | asdf | Joined chat
9/24/2020, 15:03:31 | asdf | Left chat
9/24/2020, 15:03:31 |  | Joined chat
9/24/2020, 15:03:31 |  | Left chat
9/24/2020, 15:03:36 |  | Joined chat
9/24/2020, 15:03:45 |  | Left chat
9/24/2020, 15:03:54 |  | Joined chat
9/24/2020, 15:07:11 |  | Left chat
9/24/2020, 15:10:26 |  | Joined chat
9/24/2020, 15:10:26 |  | Left chat
9/24/2020, 15:14:54 |  | Joined chat
9/24/2020, 15:15:07 |  | Left chat
9/24/2020, 15:15:10 | asdf | Joined chat
9/24/2020, 15:15:24 | asdf | Left chat
9/24/2020, 15:15:25 |  | Joined chat
9/24/2020, 15:15:25 |  | Left chat
9/24/2020, 15:19:43 |  | Joined chat
9/24/2020, 15:19:43 |  | Left chat
9/24/2020, 15:25:54 |  | Joined chat
9/24/2020, 15:25:55 |  | Left chat
9/24/2020, 15:26:21 |  | Joined chat
9/24/2020, 15:26:21 |  | Left chat
9/24/2020, 15:26:56 | asdf | Joined chat
9/24/2020, 15:26:56 | asdf | Left chat
9/24/2020, 15:27:36 |  | Joined chat
9/24/2020, 15:27:36 |  | Left chat
9/24/2020, 15:27:56 |  | Joined chat
9/24/2020, 15:27:56 |  | Left chat
9/24/2020, 15:30:30 |  | Joined chat
9/24/2020, 15:30:31 |  | Left chat
9/24/2020, 15:31:56 |  | Joined chat
9/24/2020, 15:31:59 |  | Left chat
9/24/2020, 15:31:59 |  | Joined chat
9/24/2020, 15:32:04 |  | Left chat
9/24/2020, 15:32:04 |  | Joined chat
9/24/2020, 15:32:53 |  | Left chat
9/24/2020, 15:32:53 |  | Joined chat
9/24/2020, 15:35:32 |  | Left chat
9/24/2020, 15:38:21 |  | Joined chat
9/24/2020, 15:39:07 |  | Left chat
9/24/2020, 15:40:07 |  | Joined chat
9/24/2020, 15:40:22 |  | Left chat
9/24/2020, 15:40:26 | asdfasdf | Joined chat
9/24/2020, 15:40:41 | asdfasdf | Left chat
9/24/2020, 15:40:49 | adsfasdf | Joined chat
9/24/2020, 15:41:10 | adsfasdf | Left chat
9/24/2020, 15:42:14 |  | Joined chat
9/24/2020, 15:42:17 |  | Left chat
9/24/2020, 15:42:21 | johnny | Joined chat
9/24/2020, 15:44:43 | johnny | Left chat
9/24/2020, 15:44:43 |  | Joined chat
9/24/2020, 15:45:11 |  | Left chat
9/24/2020, 15:45:11 |  | Joined chat
9/24/2020, 15:45:24 |  | Left chat
9/24/2020, 15:45:27 | asdf | Joined chat
9/24/2020, 15:45:33 | asdf | Left chat
9/24/2020, 15:48:22 |  | Joined chat
9/24/2020, 15:48:48 |  | Left chat
9/24/2020, 15:48:49 |  | Joined chat
9/24/2020, 15:48:53 |  | Left chat
9/24/2020, 15:48:56 | asdf | Joined chat
9/24/2020, 15:49:06 | asdf | Left chat
9/24/2020, 15:49:12 |  | Joined chat
9/24/2020, 15:49:46 |  | Left chat
9/24/2020, 15:55:08 |  | Joined chat
9/24/2020, 15:58:24 |  | Left chat
9/24/2020, 15:58:24 |  | Joined chat
9/24/2020, 15:58:49 |  | Left chat
9/24/2020, 16:15:39 |  | Joined chat
9/24/2020, 16:16:39 |  | Left chat
9/24/2020, 16:16:39 |  | Joined chat
9/24/2020, 16:17:05 |  | Left chat
9/24/2020, 16:17:05 |  | Joined chat
9/24/2020, 16:17:25 |  | Left chat
9/24/2020, 16:17:26 |  | Joined chat
9/24/2020, 16:17:29 |  | Left chat
9/24/2020, 16:19:48 | asdf | Joined chat
9/24/2020, 16:20:14 | asdf | Left chat
9/24/2020, 16:20:14 |  | Joined chat
9/24/2020, 16:20:22 |  | Left chat
9/24/2020, 16:20:30 | asdf | Joined chat
9/24/2020, 16:24:03 | asdf | Left chat
9/24/2020, 16:26:25 | asdf | Joined chat
9/24/2020, 16:27:39 | asdf | Left chat
9/24/2020, 16:27:40 |  | Joined chat
9/24/2020, 16:28:15 |  | Left chat
9/24/2020, 16:28:16 |  | Joined chat
9/24/2020, 16:29:08 |  | Left chat
9/24/2020, 16:29:09 |  | Joined chat
9/24/2020, 16:29:23 |  | Left chat
9/24/2020, 16:29:24 |  | Joined chat
9/24/2020, 16:30:50 |  | Left chat
9/24/2020, 16:30:50 |  | Joined chat
9/24/2020, 16:31:03 |  | Left chat
9/24/2020, 16:31:03 |  | Joined chat
9/24/2020, 16:31:03 |  | Left chat
9/24/2020, 16:31:42 |  | Joined chat
9/24/2020, 16:32:28 |  | Left chat
9/24/2020, 16:32:29 |  | Joined chat
9/24/2020, 16:32:45 |  | Left chat
9/24/2020, 16:32:45 |  | Joined chat
9/24/2020, 16:33:19 |  | Left chat
9/24/2020, 16:33:19 |  | Joined chat
9/24/2020, 16:33:39 |  | Left chat
9/24/2020, 16:33:39 |  | Joined chat
9/24/2020, 16:33:48 |  | Left chat
9/24/2020, 16:33:48 |  | Joined chat
9/24/2020, 16:34:12 |  | Left chat
9/24/2020, 16:34:12 |  | Joined chat
9/24/2020, 16:34:20 |  | Left chat
9/24/2020, 16:34:20 |  | Joined chat
9/24/2020, 16:34:56 |  | Left chat
9/24/2020, 16:34:56 |  | Joined chat
9/24/2020, 16:35:05 |  | Left chat
9/24/2020, 16:35:06 |  | Joined chat
9/24/2020, 16:36:53 |  | Left chat
9/24/2020, 16:36:53 |  | Joined chat
9/24/2020, 16:37:26 |  | Left chat
9/24/2020, 16:40:45 |  | Joined chat
9/24/2020, 16:41:27 |  | Left chat
9/24/2020, 16:41:28 |  | Joined chat
9/24/2020, 16:42:30 |  | Left chat
9/24/2020, 16:42:30 |  | Joined chat
9/24/2020, 16:44:29 |  | Left chat
9/24/2020, 16:44:30 |  | Joined chat
9/24/2020, 16:45:58 |  | Left chat
9/24/2020, 16:45:58 |  | Joined chat
